MlsNum,BathsTotal,Beds,GarageCap,DOMAct,Basement,ClosedDate,YearBuilt,DaysOnMarket,ListPrice,Renovated,SalesPrice,StreetNumDisplay,StreetName,Style,AssessTotal,
3509718,2.10,3,2,159,Y,05/10/2019,1993,159,655000,,625000,2,EASTGATE SQ*,"MultiFlr,TwnEndUn",135000,
3563028,2.00,3,2,26,Y,08/29/2019,,26,659000,,640000,522,COLEMAN PL*,"Colonial,",131300,
3569059,2.00,4,2,64,N,10/02/2019,9999,55,659000,,640000,1056,PROSPECT ST*,"Custom,SeeRem",799700,
3595504,3.00,4,0,23,Y,12/19/2019,1948,22,660000,2003,655000,1309,BOULEVARD*,"Colonial,",681900,
3525828,4.00,4,1,90,Y,07/11/2019,,90,665000,2011,680000,310,N SCOTCH PLAINS AVE,"Colonial,",127100,
3495071,2.10,4,2,162,Y,03/15/2019,1956,160,669000,,655000,418,OTISCO DR*,"SplitLev,",185800,
3556868,2.10,4,2,40,Y,07/31/2019,,40,669000,,669000,863,CARLETON RD*,"Tudor,",162900,
3563568,2.10,4,1,96,Y,11/15/2019,1947,96,669000,,600000,214,JEFFERSON AVE*,"Colonial,",747700,
3571867,3.10,3,2,18,Y,09/18/2019,,17,674900,2019,660000,405,ST MARKS AVE*,"Colonial,",472000,
3520076,2.20,4,2,116,Y,06/07/2019,1936,117,675000,1996,640000,782,E BROAD ST*,"Colonial,Custom",206700,
3525755,3.10,3,1,29,Y,04/05/2019,2019,29,675000,,675000,131,GREENE PL*,"Colonial,",21900,
3548394,3.10,3,1,57,Y,08/13/2019,2019,58,675000,,675000,321,E GROVE ST*,"TwnEndUn,MultiFlr",143600,
3565928,2.10,3,2,33,Y,09/17/2019,,29,675000,,600000,1101,WYCHWOOD RD*,"Colonial,",234700,
3522547,2.00,4,1,30,N,03/04/2019,1951,30,679900,2018,655000,633,GREEN BRIAR CT*,"SplitLev,",127200,
3587236,2.10,4,1,14,N,10/30/2019,1956,13,685000,,678000,122,ROGER AVE*,"SplitLev,",658000,
3547122,2.10,4,2,111,Y,09/20/2019,1978,111,695000,,667500,709,OAK AVE*,"Colonial,",689900,
3527284,3.10,5,2,9,Y,03/26/2019,,9,698000,2010,738000,360,ORENDA CIR*,"Custom,RanchExp",136800,
3548756,1.10,3,2,16,Y,07/15/2019,9999,16,699000,,699000,451,CHANNING AVE*,"Colonial,",0,
3552610,2.10,3,1,43,Y,09/20/2019,1941,43,699000,,675000,139,WELLS ST*,"Colonial,",144900,
3552866,3.00,5,2,77,Y,08/26/2019,1917,77,699000,,680000,162,N EUCLID AVE*,"Colonial,",168400,
3585131,2.00,4,1,8,Y,10/25/2019,,8,699000,,699100,536,COLEMAN PL*,"Colonial,",621200,
3589693,2.00,4,1,30,Y,12/10/2019,1912,30,699000,,690000,748,Embree Crescent,"Colonial,",723900,
3498758,2.10,4,2,188,Y,04/11/2019,1964,183,699900,,675000,204,TWIN OAKS TER*,"Colonial,",195800,
3592469,2.10,4,1,49,N,12/30/2020,1960,49,699900,2013,675000,115,ROGER AVE*,"SplitLev,",714600,
3584920,2.10,4,2,47,Y,12/16/2019,1953,47,699990,,660000,858,VILLAGE GREEN*,"Custom,Colonial",198200,
3542696,2.10,4,2,22,Y,06/17/2019,1927,21,700000,,690000,931,Carleton Road,"Tudor,",166600,
3500164,2.20,4,2,180,Y,04/23/2019,1925,179,719000,,695000,223,MIDWOOD PL*,"Colonial,",183800,
3523929,2.10,4,2,23,Y,03/29/2019,1955,23,719000,,695000,71,GENESEE TRL*,"SplitLev,",182300,
3533459,2.10,3,1,22,Y,05/09/2019,1928,22,719000,,710000,867,DORIAN RD*,"Colonial,",135900,
3549395,2.20,4,0,39,Y,08/20/2019,9999,39,719000,2019,700000,417,1ST ST*,"Colonial,",88200,
3567651,3.10,4,2,106,Y,11/07/2019,1967,106,719900,2016,678000,16,MARLIN CT*,"Colonial,",721700,
3562109,3.00,4,2,94,Y,09/16/2019,,86,720000,,710000,1335,GRANDVIEW AVE*,"SplitLev,",185300,
3546532,2.10,3,1,50,Y,06/28/2019,1958,50,724900,,705000,817,OAK AVE*,"SplitLev,",184800,
3577568,2.20,3,2,49,Y,10/17/2019,1951,49,724900,2019,730000,515,MOUNTAIN AVE*,"Colonial,",639900,
3538802,3.10,5,1,52,Y,06/07/2019,2019,52,724999,,705000,625,RIPLEY PL*,"Colonial,Custom",0,
