,Date,ActiveNum,AvLP,AvMP,NewLnum,NewLAVLP,NewLAVMP,UCNewNum,UCAVLP,UCAVMP,UCAvDOM,SoldNum,SoldAVLP,SoldAVMP,SoldAVDOM,SP/LP,SP/OLP
51,"Sep,2014 ",94 ,"$619,592 ","$584,450 ",26 ,"$643,831 ","$589,500 ",7 ,"$631,143 ","$599,999 ",30 ,14 ,"$582,286 ","$517,500 ",44 ,97% ,95% 
52,"Aug,2014 ",88 ,"$628,982 ","$569,450 ",17 ,"$624,600 ","$584,900 ",14 ,"$677,457 ","$546,750 ",46 ,19 ,"$668,632 ","$680,000 ",52 ,98% ,96% 
53,"Jul,2014 ",90 ,"$630,279 ","$574,450 ",18 ,"$622,697 ","$602,920 ",12 ,"$602,325 ","$564,000 ",54 ,20 ,"$603,350 ","$602,500 ",41 ,98% ,97% 
54,"Jun,2014 ",89 ,"$637,890 ","$579,000 ",28 ,"$665,220 ","$624,000 ",13 ,"$647,200 ","$679,000 ",62 ,20 ,"$714,140 ","$687,500 ",61 ,99% ,98% 
55,"May,2014 ",89 ,"$629,262 ","$579,000 ",32 ,"$644,928 ","$559,450 ",22 ,"$637,609 ","$622,000 ",37 ,15 ,"$440,167 ","$425,000 ",29 ,100% ,99% 
56,"Apr,2014 ",79 ,"$600,476 ","$579,000 ",37 ,"$630,122 ","$579,000 ",18 ,"$574,611 ","$584,000 ",37 ,12 ,"$543,333 ","$542,500 ",42 ,98% ,97% 
57,"Mar,2014 ",63 ,"$581,760 ","$549,900 ",26 ,"$594,354 ","$569,450 ",12 ,"$553,700 ","$464,450 ",51 ,10 ,"$655,250 ","$660,500 ",69 ,97% ,95% 
58,"Feb,2014 ",58 ,"$599,139 ","$589,000 ",12 ,"$597,908 ","$589,500 ",14 ,"$664,064 ","$599,000 ",54 ,4 ,"$570,875 ","$621,250 ",58 ,98% ,98% 
59,"Jan,2014 ",59 ,"$630,451 ","$599,000 ",12 ,"$610,533 ","$524,000 ",10 ,"$653,645 ","$719,000 ",52 ,12 ,"$606,083 ","$591,500 ",47 ,97% ,96% 
60,"Dec,2013 ",63 ,"$616,748 ","$589,000 ",11 ,"$683,814 ","$749,000 ",6 ,"$469,150 ","$334,450 ",65 ,28 ,"$692,936 ","$602,000 ",61 ,97% ,96% 
61,"Nov,2013 ",75 ,"$638,522 ","$599,000 ",15 ,"$651,819 ","$619,000 ",13 ,"$657,923 ","$619,000 ",40 ,11 ,"$570,636 ","$485,000 ",84 ,98% ,95% 
62,"Oct,2013 ",88 ,"$633,680 ","$584,000 ",23 ,"$615,456 ","$569,000 ",21 ,"$647,748 ","$589,000 ",74 ,9 ,"$470,333 ","$445,000 ",34 ,97% ,97% 
63,"Sep,2013 ",82 ,"$633,137 ","$579,000 ",29 ,"$638,372 ","$589,000 ",9 ,"$631,000 ","$499,000 ",26 ,17 ,"$593,994 ","$610,000 ",101 ,97% ,92% 
64,"Aug,2013 ",84 ,"$618,140 ","$571,500 ",16 ,"$566,963 ","$572,000 ",26 ,"$600,112 ","$581,500 ",109 ,24 ,"$607,379 ","$549,250 ",43 ,99% ,98% 
65,"Jul,2013 ",86 ,"$635,245 ","$577,000 ",21 ,"$651,409 ","$599,000 ",11 ,"$604,436 ","$575,000 ",80 ,32 ,"$519,435 ","$499,250 ",58 ,98% ,101% 
66,"Jun,2013 ",89 ,"$626,847 ","$575,000 ",18 ,"$536,983 ","$524,500 ",17 ,"$602,170 ","$579,900 ",42 ,18 ,"$592,667 ","$523,500 ",62 ,97% ,96% 
67,"May,2013 ",107 ,"$620,856 ","$569,000 ",32 ,"$544,854 ","$522,000 ",27 ,"$561,526 ","$535,000 ",57 ,16 ,"$528,466 ","$450,000 ",87 ,98% ,97% 
68,"Apr,2013 ",100 ,"$639,761 ","$580,000 ",38 ,"$713,926 ","$647,500 ",17 ,"$560,341 ","$460,000 ",60 ,19 ,"$570,216 ","$499,000 ",95 ,96% ,94% 
69,"Mar,2013 ",98 ,"$598,761 ","$517,000 ",29 ,"$649,893 ","$649,000 ",23 ,"$561,439 ","$498,900 ",54 ,14 ,"$515,450 ","$488,450 ",115 ,96% ,93% 
70,"Feb,2013 ",97 ,"$571,862 ","$499,000 ",25 ,"$554,432 ","$460,000 ",18 ,"$591,000 ","$499,000 ",90 ,7 ,"$510,950 ","$499,000 ",123 ,97% ,92% 
71,"Jan,2013 ",94 ,"$574,309 ","$499,000 ",20 ,"$549,530 ","$499,000 ",11 ,"$469,355 ","$499,000 ",123 ,9 ,"$514,197 ","$418,000 ",87 ,96% ,95% 
72,"Dec,2012 ",88 ,"$574,237 ","$499,000 ",12 ,"$537,017 ","$474,000 ",6 ,"$561,300 ","$579,000 ",70 ,11 ,"$510,955 ","$565,000 ",87 ,95% ,93% 
73,"Nov,2012 ",101 ,"$572,302 ","$519,000 ",9 ,"$503,100 ","$499,000 ",13 ,"$481,569 ","$500,000 ",115 ,7 ,"$502,286 ","$525,000 ",54 ,98% ,96% 
74,"Oct,2012 ",114 ,"$581,204 ","$519,000 ",21 ,"$636,938 ","$589,000 ",10 ,"$477,400 ","$499,000 ",75 ,5 ,"$541,000 ","$550,000 ",122 ,95% ,92% 
75,"Sep,2012 ",113 ,"$577,481 ","$519,000 ",25 ,"$592,288 ","$620,000 ",5 ,"$502,780 ","$510,000 ",110 ,13 ,"$574,808 ","$455,000 ",105 ,96% ,93% 
76,"Aug,2012 ",106 ,"$572,781 ","$516,950 ",17 ,"$535,100 ","$549,000 ",9 ,"$547,200 ","$450,000 ",96 ,19 ,"$571,132 ","$540,000 ",67 ,99% ,96% 
77,"Jul,2012 ",104 ,"$575,475 ","$500,000 ",19 ,"$609,584 ","$542,500 ",9 ,"$604,167 ","$499,000 ",78 ,18 ,"$517,500 ","$450,000 ",96 ,94% ,93% 
78,"Jun,2012 ",118 ,"$579,633 ","$514,500 ",23 ,"$572,930 ","$519,000 ",22 ,"$581,382 ","$532,000 ",77 ,19 ,"$581,434 ","$551,000 ",46 ,97% ,97% 
79,"May,2012 ",123 ,"$569,193 ","$500,000 ",24 ,"$582,892 ","$517,500 ",20 ,"$532,300 ","$510,500 ",52 ,9 ,"$556,889 ","$480,000 ",38 ,98% ,97% 
80,"Apr,2012 ",120 ,"$557,445 ","$499,450 ",33 ,"$596,752 ","$529,000 ",16 ,"$538,188 ","$554,000 ",60 ,16 ,"$503,281 ","$487,000 ",70 ,97% ,96% 
81,"Mar,2012 ",103 ,"$559,548 ","$499,000 ",40 ,"$543,315 ","$499,000 ",12 ,"$659,075 ","$528,450 ",89 ,6 ,"$492,500 ","$398,750 ",61 ,98% ,96% 
82,"Feb,2012 ",84 ,"$598,699 ","$522,000 ",25 ,"$587,944 ","$589,900 ",12 ,"$692,242 ","$589,000 ",82 ,6 ,"$482,083 ","$490,000 ",61 ,94% ,91% 
83,"Jan,2012 ",78 ,"$583,479 ","$494,200 ",12 ,"$468,242 ","$419,500 ",9 ,"$552,878 ","$459,000 ",94 ,7 ,"$458,357 ","$440,000 ",38 ,97% ,97% 
84,"Dec,2011 ",82 ,"$586,322 ","$498,750 ",11 ,"$482,727 ","$450,000 ",4 ,"$470,975 ","$417,450 ",49 ,9 ,"$650,111 ","$620,000 ",43 ,97% ,95% 
